Request Type,Test,Response Status,Result
GET,get_status,200,Passed
GET,response_type,200,Passed
GET,response_length,200,Passed
GET,post_type,200,Passed
GET,posts_count,200,Passed
POST,status,201,Passed
POST,id_present,201,Passed
POST,post_title,201,Passed
POST,content-type,201,Passed
PUT,updated_title,200,Passed
PUT,post_id,200,Passed
PUT,Authorization,200,Failed
PUT,cookies,200,Failed
PUT,keys,200,Passed
DELETE,response_text,200,Passed
DELETE,response_time,200,Passed
DELETE,Content-Type,200,Passed
